accuracy,loss,val_accuracy,val_loss,learning_rate
0.1734693944454193,1.450443983078003,0.23999999463558197,1.3382550477981567,0.0010000000474974513
0.2551020383834839,1.3332009315490723,0.11999999731779099,1.3229641914367676,0.0010000000474974513
0.27551019191741943,1.265275001525879,0.23999999463558197,1.289717197418213,0.0010000000474974513
0.3163265287876129,1.2416836023330688,0.23999999463558197,1.2617311477661133,0.0010000000474974513
0.37755101919174194,1.2252483367919922,0.20000000298023224,1.2507599592208862,0.0010000000474974513
0.33673468232154846,1.236830711364746,0.20000000298023224,1.2527366876602173,0.0010000000474974513
0.36734694242477417,1.187584400177002,0.36000001430511475,1.1834144592285156,0.0010000000474974513
0.36734694242477417,1.1749950647354126,0.6000000238418579,1.111823558807373,0.0010000000474974513
0.4183673560619354,1.1175918579101562,0.5199999809265137,1.0971534252166748,0.0010000000474974513
0.40816327929496765,1.077394962310791,0.5199999809265137,1.0883533954620361,0.0010000000474974513
0.5204081535339355,1.0360400676727295,0.6399999856948853,1.0433295965194702,0.0010000000474974513
0.4897959232330322,1.0409587621688843,0.6800000071525574,1.0203038454055786,0.0010000000474974513
0.4897959232330322,1.0109589099884033,0.6800000071525574,1.0160616636276245,0.0010000000474974513
0.6020408272743225,0.893736720085144,0.5600000023841858,1.0026640892028809,0.0010000000474974513
0.4693877696990967,0.9912450909614563,0.5600000023841858,1.002557396888733,0.0010000000474974513
0.6020408272743225,0.8859121203422546,0.5600000023841858,1.0025197267532349,0.0010000000474974513
0.5408163070678711,0.9974936842918396,0.5600000023841858,0.9613810181617737,0.0010000000474974513
0.5510203838348389,0.8975090384483337,0.47999998927116394,0.9142674803733826,0.0010000000474974513
0.5204081535339355,0.8865114450454712,0.5199999809265137,0.9334177374839783,0.0010000000474974513
0.43877550959587097,0.9803950786590576,0.5199999809265137,0.9011628031730652,0.0010000000474974513
0.6224489808082581,0.8425633311271667,0.6399999856948853,0.8346637487411499,0.0010000000474974513
0.5204081535339355,0.9111958146095276,0.5199999809265137,0.932650089263916,0.0010000000474974513
0.5102040767669678,0.8588181138038635,0.5199999809265137,0.8592003583908081,0.0010000000474974513
0.5,0.8912653923034668,0.5199999809265137,0.8697735071182251,0.0010000000474974513
0.5306122303009033,0.8737423419952393,0.5600000023841858,0.8828023672103882,0.0010000000474974513
0.5714285969734192,0.8529453873634338,0.4000000059604645,0.8853350281715393,0.0010000000474974513
0.5612244606018066,0.8187451958656311,0.5600000023841858,0.8708046078681946,0.0005000000237487257
0.47959184646606445,0.9015825390815735,0.5199999809265137,0.8529391288757324,0.0005000000237487257
0.6326530575752258,0.7968485355377197,0.5199999809265137,0.8434416055679321,0.0005000000237487257
0.5918367505073547,0.7982227802276611,0.5199999809265137,0.8265287280082703,0.0005000000237487257
0.5510203838348389,0.8327750563621521,0.5199999809265137,0.8319072127342224,0.0005000000237487257
0.5306122303009033,0.7915731072425842,0.5199999809265137,0.841404139995575,0.0005000000237487257
0.5714285969734192,0.8308213949203491,0.5199999809265137,0.8657201528549194,0.0005000000237487257
0.5510203838348389,0.815434455871582,0.5600000023841858,0.9028241634368896,0.0005000000237487257
0.5408163070678711,0.8112047910690308,0.5199999809265137,0.8554916977882385,0.0005000000237487257
0.6020408272743225,0.7821215987205505,0.5199999809265137,0.8633463382720947,0.0002500000118743628
0.5510203838348389,0.7784138917922974,0.5199999809265137,0.9035590887069702,0.0002500000118743628
0.5408163070678711,0.8076242804527283,0.5199999809265137,0.8806073665618896,0.0002500000118743628
0.6224489808082581,0.7774809002876282,0.5199999809265137,0.865378201007843,0.0002500000118743628
0.6326530575752258,0.7596048712730408,0.5199999809265137,0.8673272132873535,0.0002500000118743628
